"dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=TT,modelFiles=s05mixdtssa01v12.scs:tt,s05mixdtssa01v12.scs:captypical) X","dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=TT,modelFiles=s05mixdtssa01v12.scs:tt,s05mixdtssa01v12.scs:captypical) Y","dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=SS,modelFiles=s05mixdtssa01v12.scs:ss,s05mixdtssa01v12.scs:capslow) X","dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=SS,modelFiles=s05mixdtssa01v12.scs:ss,s05mixdtssa01v12.scs:capslow) Y","dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=FF,modelFiles=s05mixdtssa01v12.scs:ff,s05mixdtssa01v12.scs:capfast) X","dB20(VF("/CTIA_AMP_VOUT_ac")) (Corner=FF,modelFiles=s05mixdtssa01v12.scs:ff,s05mixdtssa01v12.scs:capfast) Y"
X_TT, Y_TT, X_SS, Y_SS, X_FF, Y_FF
1,80.991818185752,1,83.04178321346636,1,77.08616770212343
1.513561248436208,80.99176649699508,1.513561248436208,83.03988471328887,1.513561248436208,77.086164943988
2.290867652767773,80.99164808721277,2.290867652767773,83.03553862646687,2.290867652767773,77.08615862547049
3.467368504525317,80.99137683824101,3.467368504525317,83.02559868058935,3.467368504525317,77.08614415061901
5.248074602497726,80.99075550659909,5.248074602497726,83.00291297257353,5.248074602497726,77.08611099083046
7.943282347242816,80.98933245302564,7.943282347242816,82.95138540745369,7.943282347242816,77.08603502709869
12.02264434617413,80.98607418223038,12.02264434617413,82.83559741407608,12.02264434617413,77.08586100925078
18.19700858609984,80.97861911669155,18.19700858609984,82.58143183478151,18.19700858609984,77.08546238367359
27.54228703338167,80.96158863375848,27.54228703338167,82.04979223996972,27.54228703338167,77.08454932312955
41.68693834703355,80.92282396810263,41.68693834703355,81.03249226282519,41.68693834703355,77.08245834557547
63.09573444801934,80.83530225370598,63.09573444801934,79.33456951020288,63.09573444801934,77.07767198419032
95.49925860214361,80.6412108208919,95.49925860214361,76.92580844019989,95.49925860214361,77.06672690719024
144.5439770745928,80.22678038216672,144.5439770745928,73.96954911006158,144.5439770745928,77.04175667547277
218.7761623949553,79.40430603335672,218.7761623949553,70.68352755443973,218.7761623949553,76.98508863749109
331.1311214825912,77.95781045855223,331.1311214825912,67.22803785433585,331.1311214825912,76.8579910007082
501.1872336272725,75.78572633167326,501.1872336272725,63.69265850511019,501.1872336272725,76.58012790784151
758.577575029184,72.99457602010894,758.577575029184,60.12117071807825,758.577575029184,76.00354255590864
1148.153621496883,69.80111893338879,1148.153621496883,56.53367564023566,1148.153621496883,74.91512309957049
1737.800828749376,66.39125486669633,1737.800828749376,52.93914545219565,1737.800828749376,73.13157021102016
2630.267991895383,62.87693549013289,2630.267991895383,49.34153505802309,2630.267991895383,70.64800285356003
3981.071705534974,59.3148730084233,3981.071705534974,45.74257807777244,3981.071705534974,67.64262527041907
6025.59586074358,55.73153775566816,6025.59586074358,42.14303232050656,6025.59586074358,64.33010433645069
9120.108393559101,52.1388321540889,9120.108393559101,38.54322802971835,9120.108393559101,60.86181726586376
13803.84264602886,48.54201983372403,13803.84264602886,34.94330752957123,13803.84264602886,57.32058861277774
20892.96130854041,44.94341138471456,20892.96130854041,31.34332864092458,20892.96130854041,53.7464946246542
31622.77660168381,41.34401745658572,31622.77660168381,27.7433067185727,31622.77660168381,50.15785141766677
47863.00923226386,37.74427860199886,47863.00923226386,24.14322581575177,47863.00923226386,46.56281765301749
72443.59600749904,34.14438471776877,72443.59600749904,20.54302708195178,72443.59600749904,42.96498610380299
109647.8196143186,30.54441298005563,109647.8196143186,16.94256594524724,109647.8196143186,39.36593032241197
165958.6907437562,26.9443839442507,165958.6907437562,13.34150689718388,165958.6907437562,35.7663364037407
251188.6431509582,23.34427648930688,251188.6431509582,9.739079155981672,251188.6431509582,32.16649958848917
380189.3963205615,19.74401245160387,380189.3963205615,6.133514468186607,380189.3963205615,28.56653854859549
575439.9373371573,16.14339976083764,575439.9373371573,2.52075275550814,575439.9373371573,24.96648161803493
870963.5899560812,12.54199268426618,870963.5899560812,-1.108554492389627,870963.5899560812,21.36628738542332
1318256.738556408,8.938767360845148,1318256.738556408,-4.776078177922638,1318256.738556408,17.76581456849976
1995262.314968881,5.331375753636246,1995262.314968881,-8.532865148993499,1995262.314968881,14.16471924541257
3019951.720402019,1.714430737063529,3019951.720402019,-12.50364139209174,3019951.720402019,10.56220468215444
4570881.896148754,-1.924450548293906,4570881.896148754,-17.01275078486343,4570881.896148754,6.956441747631357
6918309.709189371,-5.613870229527171,6918309.709189371,-22.88751403527224,6918309.709189371,3.343238097402667
10471285.48050901,-9.420754160763385,10471285.48050901,-31.38162948168958,10471285.48050901,-0.2870136765832343
15848931.92461115,-13.50705742893522,15848931.92461115,-42.35412706318499,15848931.92461115,-3.956344346632545
23988329.19019493,-18.28902397758133,23988329.19019493,-54.09531560617619,23988329.19019493,-7.715418278914253
36307805.47701018,-24.78274085133943,36307805.47701018,-65.07486637893193,36307805.47701018,-11.68211237141873
54954087.38576252,-34.25037604684771,54954087.38576252,-74.5871067926842,54954087.38576252,-16.14081214173498
83176377.11026721,-45.99268067177286,83176377.11026721,-82.9082382182922,83176377.11026721,-21.80301392056558
125892541.1794169,-57.35897896780047,125892541.1794169,-90.59939387293861,125892541.1794169,-30.04380561673333
190546071.796325,-66.32379924663522,190546071.796325,-98.0104753010482,190546071.796325,-41.37150672418597
288403150.312661,-73.80786512616861,288403150.312661,-105.3015115140312,288403150.312661,-53.09363350958142
436515832.2401666,-80.97622785277004,436515832.2401666,-112.5408678001722,436515832.2401666,-61.57360199401951
660693448.007597,-88.1302584601617,660693448.007597,-119.7576667223283,660693448.007597,-68.38738217648789
1000000000,-95.30358424516685,1000000000,-126.96422963332,1000000000,-75.21632186431697
