GND,VNDET,GND,GND
VDD_1,EOSROW,VDD_2,VDD_3
GND,EOSCOL,GND,GND
VDD_1,WL1_1,VDD_2,VDD_3
WL31_1,WL2_1,GND,VNDET
WL29_1,VDD_1,WL5_2,VREF
WL27_1,VDD_1,WL3_2,VBOP
WL25_1,GND,WL9_2,VBOPP
WL23_1,VDD_1,WL7_2,VBOPN
WL21_1,VDD_1,WL13_2,VBSF
WL19_1,GND,WL11_2,VBCOLOP
WL17_1,GND,SL0_2,VBOUT
SL30_1,GND,WL15_2,VDD_3
SL28_1,VDD_2,SL4_2,GND
SL26_1,VDD_2,SL2_2,GND
SL24_1,GND,SL8_2,GND
SL22_1,VDD_2,SL6_2,GND
SL20_1,VDD_2,SL12_2,VBTEST
SL18_1,VNDET,SL10_2,VOUT1A_3
SL16_1,GND,BL1_2,VOUT2A_3
SL14_1,CLKROW,BL3_2,VOUT1B_3
BL0_1,CLKCOL,BL5_2,VOUT2B_3
BL2_1,STROW,BL7_2,VOUT1C_3
BL4_1,STCOL,BL9_2,VOUT2C_3
BL6_1,STCOLOP,BL11_2,VOUT1D_3
BL8_1,RESET,BL13_2,VOUT2D_3
BL10_1,SH1,BL15_2,VNDET
BL12_1,SELCAP,BL17_2,VDD_3
BL14_1,SH2,BL19_2,GND
BL16_1,WL1_2,BL21_2,VDD_3
BL18_1,WL2_2,BL23_2,GND
BL20_1,,BL25_2,VDD_3
BL22_1,,BL27_2,GND
BL24_1,,BL29_2,VDD_1
BL26_1,,BL31_2,GND
BL28_1,,SL14_2,VDD_3
BL30_1,,SL16_2,GND
SL10_1,,SL18_2,VDD_1
SL12_1,,SL20_2,GND
SL6_1,,SL22_2,VDD_2
SL8_1,,SL24_2,GND
SL2_1,,SL26_2,VDD_2
SL4_1,,SL28_2,GND
WL15_1,,SL30_2,VDD_4
SL0_1,,WL17_2,GND
WL11_1,,WL19_2,VDD_4
WL13_1,,WL21_2,GND
WL7_1,,WL23_2,VDD_4
WL9_1,,WL25_2,GND
WL3_1,,WL27_2,VDD_4
WL5_1,,WL29_2,VNDET
GND,,WL31_2,VDD_4
GND,,GND,GND
GND,,GND,GND
GND,,GND,GND
GND,,GND,GND
GND,,GND,VOUT1A_4
GND,,GND,VOUT2A_4
GND,,GND,VOUT1B_4
WL0_1,,GND,VOUT2B_4
WL6_1,,WL30_2,VOUT1C_4
WL4_1,,WL26_2,VOUT2C_4
WL10_1,,WL28_2,VOUT1D_4
WL8_1,,WL22_2,VOUT2D_4
WL14_1,,WL24_2,VNDET
WL12_1,,WL18_2,VDD_4
SL3_1,,WL20_2,GND
SL1_1,,SL31_2,VDD_4
SL7_1,,WL16_2,GND
SL5_1,,SL27_2,
SL11_1,,SL29_2,
SL9_1,,SL23_2,
BL31_1,,SL25_2,
BL29_1,,SL19_2,
BL27_1,,SL21_2,
BL25_1,,BL30_2,
BL23_1,,BL28_2,
BL21_1,,BL26_2,
BL19_1,,BL24_2,
BL17_1,,BL22_2,
BL15_1,,BL20_2,
BL13_1,,BL18_2,
BL11_1,,BL16_2,
BL9_1,,BL14_2,
BL7_1,,BL12_2,
BL5_1,,BL10_2,
BL3_1,,BL8_2,
SL15_1,,BL6_2,
SL13_1,,BL4_2,
SL19_1,,BL2_2,
SL17_1,,BL0_2,
SL23_1,,SL15_2,
SL21_1,,SL17_2,
SL27_1,,SL11_2,
SL25_1,,SL13_2,
SL31_1,,SL7_2,
SL29_1,,SL9_2,
WL18_1,,SL3_2,
WL16_1,,SL5_2,
WL22_1,,WL14_2,
WL20_1,,SL1_2,
WL26_1,,WL10_2,
WL24_1,,WL12_2,
WL30_1,,WL6_2,
WL28_1,,WL8_2,
BL1_1,,WL4_2,
GND,,GND,
GND,,WL0_2,
GND,,GND,
VOUT2D_1,,GND,
VOUT1D_1,,VOUT1A_2,
VOUT2C_1,,VOUT2A_2,
VOUT1C_1,,VOUT1B_2,
VOUT2B_1,,VOUT2B_2,
VOUT1B_1,,VOUT1C_2,
VOUT2A_1,,VOUT2C_2,
VOUT1A_1,,VOUT1D_2,
GND,,VOUT2D_2,
VDD_1,,GND,
GND,,VDD_2,
VDD_1,,GND,
VDD_1,,VDD_2,
GND,,VDD_2,
VDD_3,,GND,
GND,,VDD_4,
VDD_3,,GND,
GND,,VDD_4,
VNDET,,GND,
,,VNDET,
