BL0_1,BL0_2,VDD_3,VDD_4,CLKCOL
BL10_1,BL10_2,VDD_3,VDD_4,CLKROW
BL11_1,BL11_2,VDD_3,VDD_4,EOSCOL
BL12_1,BL12_2,VDD_3,VDD_4,EOSROW
BL13_1,BL13_2,VDD_3,VDD_4,GND
BL14_1,BL14_2,VDD_3,VDD_4,GND
BL15_1,BL15_2,VDD_3,VDD_4,GND
BL16_1,BL16_2,VDD_3,VDD_4,GND
BL17_1,BL17_2,VDD_3,VDD_4,GND
BL18_1,BL18_2,VOUT1A_3,VOUT1A_4,GND
BL19_1,BL19_2,VOUT1B_3,VOUT1B_4,GND
BL1_1,BL1_2,VOUT1C_3,VOUT1C_4,GND
BL20_1,BL20_2,VOUT1D_3,VOUT1D_4,GND
BL21_1,BL21_2,VOUT2A_3,VOUT2A_4,GND
BL22_1,BL22_2,VOUT2B_3,VOUT2B_4,GND
BL23_1,BL23_2,VOUT2C_3,VOUT2C_4,GND
BL24_1,BL24_2,VOUT2D_3,VOUT2D_4,GND
BL25_1,BL25_2,,,GND
BL26_1,BL26_2,,,GND
BL27_1,BL27_2,,,GND
BL28_1,BL28_2,,,GND
BL29_1,BL29_2,,,GND
BL2_1,BL2_2,,,GND
BL30_1,BL30_2,,,GND
BL31_1,BL31_2,,,GND
BL3_1,BL3_2,,,GND
BL4_1,BL4_2,,,GND
BL5_1,BL5_2,,,GND
BL6_1,BL6_2,,,GND
BL7_1,BL7_2,,,GND
BL8_1,BL8_2,,,GND
BL9_1,BL9_2,,,GND
SL0_1,SL0_2,,,GND
SL10_1,SL10_2,,,GND
SL11_1,SL11_2,,,GND
SL12_1,SL12_2,,,GND
SL13_1,SL13_2,,,GND
SL14_1,SL14_2,,,GND
SL15_1,SL15_2,,,GND
SL16_1,SL16_2,,,GND
SL17_1,SL17_2,,,GND
SL18_1,SL18_2,,,GND
SL19_1,SL19_2,,,GND
SL1_1,SL1_2,,,GND
SL20_1,SL20_2,,,GND
SL21_1,SL21_2,,,GND
SL22_1,SL22_2,,,GND
SL23_1,SL23_2,,,GND
SL24_1,SL24_2,,,GND
SL25_1,SL25_2,,,GND
SL26_1,SL26_2,,,GND
SL27_1,SL27_2,,,GND
SL28_1,SL28_2,,,GND
SL29_1,SL29_2,,,GND
SL2_1,SL2_2,,,GND
SL30_1,SL30_2,,,GND
SL31_1,SL31_2,,,GND
SL3_1,SL3_2,,,GND
SL4_1,SL4_2,,,GND
SL5_1,SL5_2,,,GND
SL6_1,SL6_2,,,GND
SL7_1,SL7_2,,,GND
SL8_1,SL8_2,,,GND
SL9_1,SL9_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,GND
VDD_1,VDD_2,,,RESET
VDD_1,VDD_2,,,SELCAP
VDD_1,VDD_2,,,SH1
VDD_1,VDD_2,,,SH2
VDD_1,VDD_2,,,STCOL
VOUT1A_1,VOUT1A_2,,,STCOLOP
VOUT1B_1,VOUT1B_2,,,STROW
VOUT1C_1,VOUT1C_2,,,VBCOLOP
VOUT1D_1,VOUT1D_2,,,VBOP
VOUT2A_1,VOUT2A_2,,,VBOPN
VOUT2B_1,VOUT2B_2,,,VBOPP
VOUT2C_1,VOUT2C_2,,,VBOUT
VOUT2D_1,VOUT2D_2,,,VBSF
WL0_1,WL0_2,,,VBTEST
WL10_1,WL10_2,,,VNDET
WL11_1,WL11_2,,,VNDET
WL12_1,WL12_2,,,VNDET
WL13_1,WL13_2,,,VNDET
WL14_1,WL14_2,,,VNDET
WL15_1,WL15_2,,,VNDET
WL16_1,WL16_2,,,VNDET
WL17_1,WL17_2,,,VNDET
WL18_1,WL18_2,,,VREF
WL19_1,WL19_2,,,
WL1_1,WL1_2,,,
WL20_1,WL20_2,,,
WL21_1,WL21_2,,,
WL22_1,WL22_2,,,
WL23_1,WL23_2,,,
WL24_1,WL24_2,,,
WL25_1,WL25_2,,,
WL26_1,WL26_2,,,
WL27_1,WL27_2,,,
WL28_1,WL28_2,,,
WL29_1,WL29_2,,,
WL2_1,WL2_2,,,
WL30_1,WL30_2,,,
WL31_1,WL31_2,,,
WL3_1,WL3_2,,,
WL4_1,WL4_2,,,
WL5_1,WL5_2,,,
WL6_1,WL6_2,,,
WL7_1,WL7_2,,,
WL8_1,WL8_2,,,
WL9_1,WL9_2,,,
